,player_final,player_final_value,actions_taken
0,"{10, 11}",21,{'S'}
1,"{5, 5, 11}",21,"{'H', 'S'}"
2,"{3, 10}",13,{'S'}
3,"{5, 9, 11, 3}",18,"{'H', 'H', 'S'}"
4,"{6, 10, 10}",26,{'H'}
5,"{3, 4, 11}",18,"{'H', 'S'}"
6,"{3, 2, 10}",15,"{'P', 'H', 'S'}"
6,"{3, 4, 5}",12,"{'H', 'S'}"
7,"{10, 8}",18,{'S'}
8,"{8, 10}",18,{'S'}
9,"{6, 8, 6}",20,"{'H', 'S'}"
10,"{11, 10}",21,{'S'}
11,"{10, 10}",20,{'S'}
12,"{4, 10, 7}",21,"{'H', 'S'}"
13,"{4, 7, 10}",21,{'D'}
14,"{9, 8}",17,{'S'}
15,"{10, 5}",15,{'R'}
16,"{7, 10}",17,{'S'}
17,"{6, 4, 4}",14,{'D'}
18,"{10, 4}",14,{'S'}
19,"{10, 11}",21,{'S'}
20,"{9, 10}",19,{'S'}
21,"{10, 6}",16,{'R'}
22,"{6, 10}",16,{'R'}
23,"{2, 7, 5, 9}",23,"{'H', 'H'}"
24,"{6, 7, 10}",23,{'H'}
25,"{10, 3}",13,{}
26,"{3, 6, 9}",18,"{'H', 'S'}"
27,"{8, 11}",19,{'S'}
28,"{11, 3, 2, 3}",19,"{'H', 'H', 'S'}"
29,"{10, 8}",18,{'S'}
30,"{6, 5, 8}",19,"{'N', 'D'}"
31,"{5, 11, 2}",18,"{'H', 'S'}"
32,"{11, 10}",21,{'S'}
33,"{10, 10}",20,{'S'}
34,"{9, 10}",19,{'S'}
35,"{5, 9, 10}",24,{'H'}
36,"{2, 4, 8}",14,"{'H', 'S'}"
37,"{9, 3, 5}",17,"{'P', 'H', 'S'}"
37,"{9, 10}",19,"{'P', 'S'}"
37,"{9, 5, 7}",21,"{'H', 'S'}"
38,"{7, 10}",17,{}
39,"{9, 5, 2, 8}",24,"{'H', 'H'}"
40,"{3, 10}",13,{'N'}
41,"{5, 10}",15,{'R'}
42,"{8, 10}",18,{'S'}
43,"{3, 4, 3, 10}",20,"{'H', 'H', 'S'}"
44,"{10, 2, 3}",15,"{'H', 'S'}"
45,"{10, 10}",20,{'S'}
46,"{11, 7, 7, 2}",17,"{'H', 'H', 'S'}"
47,"{3, 7, 10}",20,"{'H', 'S'}"
48,"{7, 6}",13,{'S'}
49,"{5, 2, 11}",18,"{'H', 'S'}"
50,"{9, 7}",16,{'R'}
51,"{10, 7}",17,{'S'}
52,"{7, 5, 5}",17,"{'H', 'S'}"
53,"{6, 10, 9}",25,{'H'}
54,"{7, 10}",17,{'S'}
55,"{3, 5, 4, 10}",22,"{'H', 'H'}"
56,"{8, 6, 10}",24,{'H'}
57,"{4, 10}",14,{'S'}
58,"{7, 7}",14,{}
59,"{6, 8, 6}",20,"{'H', 'S'}"
60,"{4, 8, 10}",22,{'H'}
61,"{4, 10, 10}",24,{'H'}
62,"{10, 5}",15,{'R'}
63,"{8, 6}",14,{'S'}
64,"{2, 10, 3}",15,"{'H', 'S'}"
65,"{11, 5}",16,{'P'}
65,"{11, 10}",21,{}
66,"{10, 5, 8}",23,{'H'}
67,"{7, 8}",15,{'N'}
68,"{5, 11, 10, 4}",20,"{'H', 'H', 'S'}"
69,"{10, 9}",19,{'S'}
70,"{8, 10}",18,{'S'}
71,"{4, 10, 10}",24,{'H'}
72,"{8, 10}",18,"{'N', 'S'}"
73,"{2, 6, 10}",18,"{'H', 'S'}"
74,"{10, 10}",20,{'S'}
75,"{5, 10, 2}",17,"{'H', 'S'}"
76,"{2, 7, 4}",13,{'D'}
