,initial_hand
0,"{10, 11}"
1,"{5, 5}"
2,"{3, 10}"
3,"{5, 9}"
4,"{6, 10}"
5,"{3, 4}"
6,"{3, 3}"
7,"{10, 8}"
8,"{8, 10}"
9,"{6, 8}"
10,"{11, 10}"
11,"{10, 10}"
12,"{4, 10}"
13,"{4, 7}"
14,"{9, 8}"
15,"{10, 5}"
16,"{7, 10}"
17,"{6, 4}"
18,"{10, 4}"
19,"{10, 11}"
20,"{9, 10}"
21,"{10, 6}"
22,"{6, 10}"
23,"{2, 7}"
24,"{6, 7}"
25,"{10, 3}"
26,"{3, 6}"
27,"{8, 11}"
28,"{11, 3}"
29,"{10, 8}"
30,"{6, 5}"
31,"{5, 11}"
32,"{11, 10}"
33,"{10, 10}"
34,"{9, 10}"
35,"{5, 9}"
36,"{2, 4}"
37,"{9, 9}"
38,"{7, 10}"
39,"{9, 5}"
40,"{3, 10}"
41,"{5, 10}"
42,"{8, 10}"
43,"{3, 4}"
44,"{10, 2}"
45,"{10, 10}"
46,"{11, 7}"
47,"{3, 7}"
48,"{7, 6}"
49,"{5, 2}"
50,"{9, 7}"
51,"{10, 7}"
52,"{7, 5}"
53,"{6, 10}"
54,"{7, 10}"
55,"{3, 5}"
56,"{8, 6}"
57,"{4, 10}"
58,"{7, 7}"
59,"{6, 8}"
60,"{4, 8}"
61,"{4, 10}"
62,"{10, 5}"
63,"{8, 6}"
64,"{2, 10}"
65,"{11, 11}"
66,"{10, 5}"
67,"{7, 8}"
68,"{5, 11}"
69,"{10, 9}"
70,"{8, 10}"
71,"{4, 10}"
72,"{8, 10}"
73,"{2, 6}"
74,"{10, 10}"
75,"{5, 10}"
76,"{2, 7}"
77,"{7, 10}"
78,"{6, 9}"
79,"{2, 4}"
80,"{8, 3}"
81,"{5, 7}"
82,"{11, 10}"
83,"{11, 10}"
84,"{9, 10}"
85,"{9, 10}"
86,"{10, 7}"
87,"{7, 3}"
88,"{9, 10}"
89,"{9, 7}"
90,"{5, 10}"
91,"{3, 4}"
92,"{3, 10}"
93,"{3, 4}"
94,"{4, 10}"
95,"{5, 8}"
96,"{6, 4}"
97,"{8, 4}"
98,"{11, 8}"
99,"{7, 11}"
100,"{9, 10}"
101,"{10, 5}"
102,"{10, 8}"
103,"{2, 10}"
104,"{10, 9}"
105,"{9, 10}"
106,"{5, 6}"
107,"{9, 8}"
108,"{2, 10}"
109,"{5, 11}"
110,"{2, 9}"
111,"{2, 10}"
112,"{6, 3}"
113,"{10, 6}"
114,"{10, 8}"
115,"{7, 5}"
116,"{4, 5}"
117,"{6, 11}"
118,"{8, 8}"
119,"{10, 3}"
120,"{4, 8}"
121,"{6, 10}"
122,"{2, 2}"
123,"{11, 10}"
124,"{10, 6}"
125,"{11, 10}"
126,"{11, 7}"
127,"{10, 8}"
128,"{2, 4}"
129,"{7, 5}"
130,"{10, 5}"
131,"{8, 6}"
132,"{10, 10}"
133,"{10, 6}"
134,"{4, 10}"
135,"{2, 6}"
136,"{10, 4}"
137,"{7, 6}"
138,"{11, 3}"
139,"{5, 2}"
140,"{10, 7}"
141,"{10, 9}"
142,"{4, 2}"
143,"{5, 11}"
144,"{9, 10}"
145,"{7, 2}"
146,"{3, 7}"
147,"{8, 5}"
148,"{10, 9}"
149,"{10, 10}"
150,"{10, 2}"
151,"{2, 11}"
152,"{3, 10}"
153,"{4, 7}"
154,"{9, 9}"
155,"{5, 4}"
156,"{5, 10}"
157,"{8, 6}"
158,"{9, 10}"
159,"{11, 6}"
160,"{4, 10}"
161,"{4, 11}"
162,"{11, 11}"
163,"{3, 7}"
164,"{3, 10}"
165,"{8, 3}"
166,"{2, 8}"
167,"{8, 8}"
168,"{2, 4}"
169,"{6, 8}"
170,"{11, 7}"
171,"{10, 2}"
172,"{11, 2}"
173,"{5, 3}"
174,"{10, 10}"
175,"{10, 5}"
176,"{10, 6}"
177,"{11, 10}"
178,"{3, 10}"
179,"{2, 10}"
180,"{11, 8}"
181,"{6, 8}"
182,"{10, 8}"
183,"{2, 10}"
184,"{6, 10}"
185,"{8, 6}"
186,"{11, 5}"
187,"{4, 2}"
188,"{11, 8}"
189,"{11, 7}"
190,"{5, 3}"
191,"{8, 5}"
192,"{2, 7}"
193,"{5, 10}"
194,"{10, 10}"
195,"{11, 7}"
196,"{10, 11}"
197,"{5, 3}"
198,"{7, 4}"
199,"{2, 7}"
200,"{6, 6}"
201,"{10, 4}"
202,"{10, 9}"
203,"{10, 4}"
204,"{10, 9}"
205,"{10, 10}"
206,"{10, 5}"
207,"{8, 8}"
208,"{10, 10}"
209,"{8, 4}"
210,"{7, 4}"
211,"{11, 8}"
212,"{5, 10}"
213,"{9, 10}"
214,"{8, 9}"
215,"{7, 10}"
216,"{3, 3}"
217,"{10, 5}"
218,"{11, 11}"
219,"{6, 5}"
220,"{10, 4}"
221,"{10, 8}"
222,"{10, 8}"
223,"{3, 5}"
224,"{10, 10}"
225,"{5, 10}"
226,"{5, 11}"
227,"{7, 10}"
228,"{7, 2}"
229,"{10, 10}"
230,"{10, 5}"
231,"{9, 7}"
232,"{10, 10}"
233,"{2, 10}"
234,"{7, 2}"
235,"{10, 11}"
236,"{10, 10}"
237,"{10, 11}"
238,"{10, 9}"
239,"{11, 3}"
240,"{5, 10}"
241,"{11, 10}"
242,"{9, 11}"
243,"{3, 10}"
244,"{10, 10}"
245,"{9, 10}"
246,"{8, 6}"
247,"{10, 10}"
248,"{5, 5}"
249,"{10, 10}"
250,"{7, 6}"
251,"{7, 7}"
252,"{10, 10}"
253,"{3, 10}"
254,"{9, 11}"
255,"{10, 7}"
256,"{10, 11}"
257,"{10, 4}"
258,"{10, 10}"
259,"{2, 9}"
260,"{4, 10}"
261,"{10, 5}"
262,"{4, 5}"
263,"{8, 10}"
264,"{6, 6}"
265,"{7, 2}"
266,"{7, 3}"
267,"{10, 7}"
268,"{7, 8}"
269,"{8, 4}"
270,"{4, 10}"
271,"{4, 6}"
272,"{10, 4}"
273,"{11, 10}"
274,"{10, 10}"
275,"{6, 10}"
276,"{9, 7}"
277,"{5, 10}"
278,"{6, 2}"
279,"{3, 10}"
280,"{11, 10}"
281,"{8, 5}"
282,"{5, 3}"
283,"{11, 4}"
284,"{4, 2}"
285,"{10, 8}"
286,"{10, 11}"
287,"{4, 10}"
288,"{2, 10}"
289,"{4, 3}"
290,"{3, 8}"
291,"{8, 3}"
292,"{11, 10}"
293,"{10, 10}"
294,"{6, 9}"
295,"{10, 5}"
296,"{8, 5}"
297,"{10, 3}"
298,"{5, 10}"
299,"{11, 10}"
300,"{10, 10}"
301,"{2, 10}"
302,"{8, 5}"
303,"{10, 10}"
304,"{4, 4}"
305,"{11, 3}"
306,"{5, 10}"
307,"{10, 4}"
308,"{4, 3}"
309,"{10, 5}"
310,"{7, 10}"
311,"{3, 7}"
312,"{7, 6}"
313,"{2, 11}"
314,"{5, 4}"
315,"{2, 10}"
316,"{4, 10}"
317,"{9, 10}"
318,"{10, 8}"
319,"{11, 10}"
320,"{8, 10}"
321,"{9, 11}"
322,"{3, 2}"
323,"{10, 7}"
324,"{4, 7}"
325,"{10, 8}"
326,"{5, 10}"
327,"{10, 6}"
328,"{10, 9}"
329,"{3, 10}"
330,"{2, 3}"
331,"{7, 2}"
332,"{10, 5}"
333,"{8, 10}"
334,"{6, 4}"
335,"{2, 10}"
336,"{8, 10}"
337,"{4, 7}"
338,"{7, 10}"
339,"{2, 10}"
340,"{3, 11}"
341,"{10, 7}"
342,"{8, 10}"
343,"{5, 4}"
344,"{2, 6}"
345,"{4, 6}"
346,"{6, 2}"
347,"{10, 8}"
348,"{2, 9}"
349,"{6, 2}"
350,"{10, 9}"
351,"{10, 5}"
352,"{10, 3}"
353,"{10, 3}"
354,"{9, 10}"
355,"{10, 3}"
356,"{10, 10}"
357,"{2, 2}"
358,"{6, 10}"
359,"{5, 10}"
360,"{10, 2}"
361,"{8, 3}"
362,"{11, 9}"
363,"{3, 11}"
364,"{6, 4}"
365,"{5, 4}"
366,"{4, 10}"
367,"{10, 9}"
368,"{11, 9}"
369,"{7, 10}"
370,"{10, 10}"
371,"{9, 7}"
372,"{10, 10}"
373,"{6, 4}"
374,"{7, 10}"
375,"{8, 4}"
376,"{8, 10}"
377,"{4, 8}"
378,"{11, 7}"
379,"{9, 2}"
380,"{9, 2}"
381,"{6, 8}"
382,"{6, 2}"
383,"{7, 3}"
384,"{5, 2}"
385,"{2, 10}"
386,"{3, 6}"
387,"{7, 10}"
388,"{10, 3}"
389,"{2, 10}"
390,"{8, 2}"
391,"{10, 3}"
392,"{11, 5}"
393,"{7, 3}"
394,"{10, 3}"
395,"{10, 3}"
396,"{8, 10}"
397,"{5, 10}"
398,"{3, 4}"
399,"{8, 10}"
400,"{8, 7}"
401,"{4, 10}"
402,"{5, 4}"
403,"{5, 9}"
404,"{4, 10}"
405,"{8, 10}"
406,"{3, 7}"
407,"{8, 10}"
408,"{6, 10}"
409,"{3, 9}"
410,"{10, 9}"
411,"{8, 6}"
412,"{2, 5}"
413,"{10, 10}"
414,"{8, 7}"
415,"{5, 10}"
416,"{10, 8}"
417,"{10, 3}"
418,"{10, 8}"
419,"{9, 11}"
420,"{4, 10}"
421,"{5, 7}"
422,"{11, 5}"
423,"{10, 11}"
424,"{4, 10}"
425,"{10, 11}"
426,"{8, 4}"
427,"{5, 6}"
428,"{10, 8}"
429,"{11, 4}"
430,"{3, 7}"
431,"{10, 10}"
432,"{7, 11}"
433,"{10, 4}"
434,"{9, 3}"
435,"{6, 2}"
436,"{6, 11}"
437,"{8, 6}"
438,"{11, 10}"
439,"{3, 6}"
440,"{6, 10}"
441,"{10, 8}"
442,"{3, 9}"
443,"{9, 9}"
444,"{2, 9}"
445,"{10, 9}"
446,"{10, 4}"
447,"{10, 9}"
448,"{10, 5}"
449,"{7, 10}"
450,"{6, 7}"
451,"{8, 2}"
452,"{8, 10}"
453,"{11, 10}"
454,"{4, 2}"
455,"{5, 10}"
456,"{10, 9}"
457,"{10, 9}"
